7.32,1.87
6.63,1.82
7.26,1.81
6.58,2.08
6.61,1.85
6.67,1.83
6.42,2.41
7.15,1.75
6.67,2.72
6.71,1.75
7.44,0.63
6.92,1.67
7.03,1.81
7.25,1.55
7.08,1.55
6.88,2.34
4.89,2.90
6.95,1.89
6.06,2.22
6.88,1.68
6.97,1.76
6.79,2.04
6.90,2.05
7.31,1.76
5.20,3.20
6.89,1.49
7.53,1.32
6.72,1.80
6.93,1.72
6.75,2.13
6.45,5.13
7.22,1.16
7.38,1.04
6.76,1.75
6.87,1.64
6.30,2.18
6.70,1.98
7.54,1.74
7.18,1.79
6.50,1.99
6.83,1.93
6.67,2.57
6.25,2.24
7.20,1.67
6.79,2.15
7.09,1.59
6.62,2.16
6.99,2.29
7.01,1.15
6.72,1.92
6.23,2.44
6.79,2.01
6.15,2.14
5.97,2.54
6.79,1.86
6.69,1.96
7.12,1.54
6.53,1.89
6.36,1.94
6.58,2.28
6.95,1.47
6.47,2.18
7.13,1.80
6.20,2.49
7.20,1.57
7.30,1.35
6.95,2.04
7.04,2.39
6.18,2.74
7.00,1.99
6.99,1.78
6.91,1.80
6.11,2.18
7.26,1.24
7.10,1.49
8.15,2.04
6.66,1.91
7.21,1.77
8.31,-0.13
6.83,2.14
6.41,2.12
6.54,2.14
4.91,3.70
6.65,1.92
6.84,1.83
6.79,1.95
6.97,1.73
6.21,2.44
6.09,2.32
6.88,1.75
6.19,2.13
6.76,2.22
6.75,1.78
6.89,2.36
6.61,2.04
6.78,2.32
6.80,2.54
7.15,1.70
7.32,2.42
5.59,2.77
